pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
-0.021531358512316502,0.07661998924057066,0,1,1,1,-0.42746776942889314,2
-0.021531358512316502,0.07661998924057066,0,0,0,1,-0.42746776942889314,1
-0.09301006905947397,-0.6168891441420292,1,0,1,0,0.7338671916413876,1
-0.09301006905947397,-0.9141073441631435,1,0,1,0,-1.3565357382851178,1
0.12142606258199908,0.07661998924057066,1,1,1,0,-1.5888027304991739,2
0.12142606258199908,0.07661998924057066,1,1,1,1,-1.5888027304991739,2
-0.09301006905947397,-0.6168891441420292,1,0,0,0,0.7338671916413876,1
-0.021531358512316502,0.07661998924057066,0,1,1,1,-0.42746776942889314,2
0.12142606258199908,-0.8150346108227721,0,1,1,0,0.2693332072132753,2
-0.021531358512316502,-0.7159618774824007,1,1,1,1,0.7338671916413876,2
0.5502983258649458,4.534892989557284,1,0,1,1,0.7338671916413876,0
-0.021531358512316502,-0.7159618774824007,1,1,1,1,0.7338671916413876,2
0.12142606258199908,0.07661998924057066,0,0,1,0,0.7338671916413876,1
0.12142606258199908,0.07661998924057066,1,1,1,1,-1.5888027304991739,2
-1.5225842800026284,1.562710989346142,0,1,1,1,-0.42746776942889314,0
-1.5225842800026284,-0.6168891441420292,0,1,1,1,0.7338671916413876,0
-1.379626858908313,-0.6168891441420292,1,0,1,0,0.7338671916413876,0
0.0499473520348416,0.5719836559424277,1,1,1,0,-1.5888027304991739,0
0.12142606258199908,-0.2205982107805436,1,1,1,1,0.7338671916413876,2
-0.09301006905947397,-0.8150346108227721,0,0,1,0,0.7338671916413876,1
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
-0.09301006905947397,-0.6168891441420292,1,1,1,1,0.7338671916413876,2
2.0513512473552575,-1.013180077503515,1,1,0,1,0.7338671916413876,0
-0.021531358512316502,0.07661998924057066,0,1,1,1,-0.42746776942889314,2
-0.021531358512316502,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
0.12142606258199908,0.07661998924057066,1,1,1,0,-1.5888027304991739,2
-0.09301006905947397,-0.6168891441420292,1,1,1,1,0.7338671916413876,2
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
0.12142606258199908,-0.41874367746128643,1,0,1,0,-1.5888027304991739,1
0.12142606258199908,0.07661998924057066,0,0,1,0,0.7338671916413876,1
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
-0.09301006905947397,-0.6168891441420292,1,0,1,0,0.7338671916413876,1
0.12142606258199908,-0.319670944120915,0,0,0,0,0.7338671916413876,1
0.5502983258649458,2.058074656047999,0,0,0,0,0.7338671916413876,0
0.5502983258649458,2.058074656047999,0,0,0,0,0.7338671916413876,0
-1.379626858908313,-0.6168891441420292,1,0,1,0,0.7338671916413876,0
0.5502983258649458,4.534892989557284,1,0,1,1,0.7338671916413876,0
-0.09301006905947397,-0.6168891441420292,1,1,1,1,0.7338671916413876,2
-0.021531358512316502,-0.6168891441420292,0,0,0,0,0.7338671916413876,1
0.0499473520348416,0.07661998924057066,1,1,0,0,-1.1242687460710616,1
-0.021531358512316502,0.07661998924057066,0,1,1,1,-0.42746776942889314,2
-0.7363184639838938,0.5719836559424277,0,1,1,1,0.7338671916413876,0
-2.594764938209994,-0.41874367746128643,1,0,0,0,0.7338671916413876,0
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
1.6939576946194692,-0.12152547744017217,1,1,1,1,-0.8920017538570054,0
-0.09301006905947397,-0.6168891441420292,1,1,1,1,0.7338671916413876,2
1.408042852430838,1.067347322644285,0,1,1,1,0.7338671916413876,0
0.12142606258199908,-0.319670944120915,0,0,0,0,0.7338671916413876,1
1.0506492996950494,2.1571473893883706,1,0,1,1,0.7338671916413876,0
-0.021531358512316502,-0.9141073441631435,0,1,1,1,0.7338671916413876,2
-0.09301006905947397,-0.8150346108227721,0,0,0,0,-1.1242687460710616,1
-1.5225842800026284,1.562710989346142,0,1,1,1,-0.42746776942889314,0
0.12142606258199908,0.07661998924057066,1,1,1,0,-1.5888027304991739,2
-0.09301006905947397,-0.9141073441631435,1,0,1,0,-1.3565357382851178,1
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
0.12142606258199908,-0.41874367746128643,1,0,1,0,-1.5888027304991739,1
1.3365641418836804,2.553438322749856,0,0,0,0,-1.3565357382851178,0
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
-0.7363184639838938,0.5719836559424277,0,1,1,1,0.7338671916413876,0
-0.09301006905947397,-0.7159618774824007,0,0,0,0,0.7338671916413876,1
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
1.0506492996950494,2.1571473893883706,1,0,1,1,0.7338671916413876,0
-0.021531358512316502,-0.6168891441420292,0,0,1,0,0.7338671916413876,1
0.12142606258199908,0.07661998924057066,0,0,0,1,0.7338671916413876,1
-0.09301006905947397,-0.6168891441420292,1,0,1,0,0.7338671916413876,1
1.408042852430838,1.067347322644285,0,1,1,1,0.7338671916413876,0
-1.5225842800026284,1.562710989346142,0,1,1,1,-0.42746776942889314,0
-2.594764938209994,-0.41874367746128643,1,0,0,0,0.7338671916413876,0
2.0513512473552575,-1.013180077503515,1,1,0,1,0.7338671916413876,0
0.0499473520348416,0.07661998924057066,1,1,0,0,-1.1242687460710616,1
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
-0.09301006905947397,-0.6168891441420292,1,0,1,0,0.7338671916413876,1
1.3365641418836804,2.553438322749856,0,0,0,0,-1.3565357382851178,0
0.12142606258199908,-0.41874367746128643,1,0,1,0,-1.5888027304991739,1
-0.021531358512316502,0.07661998924057066,0,0,0,1,-0.42746776942889314,1
0.12142606258199908,-0.41874367746128643,1,1,1,1,0.7338671916413876,2
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
-0.8077971745310512,0.07661998924057066,1,0,1,1,-0.42746776942889314,0
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
0.0499473520348416,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
-0.09301006905947397,-0.8150346108227721,0,0,0,0,-1.1242687460710616,1
-0.021531358512316502,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
-1.379626858908313,-0.6168891441420292,1,0,1,0,0.7338671916413876,0
0.12142606258199908,0.07661998924057066,0,1,0,0,-2.7501376915694546,1
-0.021531358512316502,-0.7159618774824007,1,0,1,0,0.7338671916413876,2
0.12142606258199908,-0.41874367746128643,1,0,1,0,-1.5888027304991739,1
-0.09301006905947397,-0.8150346108227721,0,0,1,0,0.7338671916413876,1
-2.594764938209994,-0.41874367746128643,1,0,0,0,0.7338671916413876,0
0.0499473520348416,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
-0.09301006905947397,-0.8150346108227721,0,0,0,0,-1.1242687460710616,1
0.12142606258199908,-0.6168891441420292,0,0,0,0,0.7338671916413876,1
0.12142606258199908,-1.013180077503515,0,0,0,1,-2.7501376915694546,1
-1.379626858908313,-0.6168891441420292,1,0,1,0,0.7338671916413876,0
1.408042852430838,1.067347322644285,0,1,1,1,0.7338671916413876,0
0.5502983258649458,2.058074656047999,0,0,0,0,0.7338671916413876,0
-1.379626858908313,-0.6168891441420292,1,0,1,0,0.7338671916413876,0
-2.594764938209994,-0.41874367746128643,1,0,0,0,0.7338671916413876,0
-0.021531358512316502,-0.7159618774824007,1,1,1,1,0.7338671916413876,2
0.12142606258199908,-0.8150346108227721,0,1,1,0,0.2693332072132753,2
1.3365641418836804,2.553438322749856,0,0,0,0,-1.3565357382851178,0
0.0499473520348416,0.07661998924057066,1,1,1,0,-1.5888027304991739,1
0.12142606258199908,0.07661998924057066,0,0,0,1,0.7338671916413876,1
-0.021531358512316502,0.07661998924057066,0,0,0,1,-0.42746776942889314,1
0.5502983258649458,2.058074656047999,0,0,0,0,0.7338671916413876,0
-0.8077971745310512,0.07661998924057066,1,0,1,1,-0.42746776942889314,0
0.12142606258199908,0.5719836559424277,0,0,1,0,0.7338671916413876,0
1.408042852430838,1.067347322644285,0,1,1,1,0.7338671916413876,0
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
0.0499473520348416,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
0.12142606258199908,-0.41874367746128643,1,1,1,1,0.7338671916413876,2
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
0.12142606258199908,0.07661998924057066,0,1,0,0,-2.7501376915694546,1
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
0.12142606258199908,0.07661998924057066,0,1,0,0,-2.7501376915694546,1
1.6939576946194692,-0.12152547744017217,1,1,1,1,-0.8920017538570054,0
-1.5225842800026284,1.562710989346142,0,1,1,1,-0.42746776942889314,0
1.3365641418836804,2.553438322749856,1,1,1,1,-1.3565357382851178,0
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
0.0499473520348416,0.07661998924057066,1,1,0,0,-1.1242687460710616,1
-0.021531358512316502,-0.7159618774824007,1,0,1,0,0.7338671916413876,2
-1.5225842800026284,-0.6168891441420292,0,1,1,1,0.7338671916413876,0
0.12142606258199908,0.07661998924057066,0,0,0,1,0.7338671916413876,1
-0.09301006905947397,-0.8150346108227721,0,0,0,0,-1.1242687460710616,1
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
-0.021531358512316502,-0.7159618774824007,1,0,1,0,0.7338671916413876,2
-0.021531358512316502,-0.7159618774824007,1,1,1,1,0.7338671916413876,2
0.5502983258649458,4.534892989557284,1,0,1,1,0.7338671916413876,0
0.0499473520348416,0.07661998924057066,1,1,1,0,-1.5888027304991739,1
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
-0.021531358512316502,-0.6168891441420292,0,0,0,0,0.7338671916413876,1
0.0499473520348416,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
2.0513512473552575,-1.013180077503515,1,1,0,1,0.7338671916413876,0
2.0513512473552575,-1.013180077503515,1,1,0,1,0.7338671916413876,0
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
-0.021531358512316502,-0.7159618774824007,1,1,1,1,0.7338671916413876,2
-2.594764938209994,-0.41874367746128643,1,0,0,0,0.7338671916413876,0
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
-0.09301006905947397,-0.7159618774824007,0,0,0,0,0.7338671916413876,1
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
-0.7363184639838938,0.5719836559424277,0,1,1,1,0.7338671916413876,0
0.12142606258199908,0.07661998924057066,1,1,1,1,-1.5888027304991739,2
0.0499473520348416,0.07661998924057066,1,1,0,0,-1.1242687460710616,1
1.6939576946194692,-0.12152547744017217,1,1,1,1,-0.8920017538570054,0
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
-0.09301006905947397,-0.6168891441420292,1,0,1,0,0.7338671916413876,1
0.12142606258199908,0.5719836559424277,0,0,1,0,0.7338671916413876,0
1.0506492996950494,2.1571473893883706,1,0,1,1,0.7338671916413876,0
-0.021531358512316502,-0.41874367746128643,1,0,0,0,0.7338671916413876,1
-0.09301006905947397,-0.6168891441420292,1,0,0,0,0.7338671916413876,1
0.5502983258649458,2.058074656047999,0,0,0,0,0.7338671916413876,0
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
-0.021531358512316502,0.07661998924057066,0,1,1,1,-0.42746776942889314,2
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
1.0506492996950494,2.1571473893883706,1,0,1,1,0.7338671916413876,0
0.12142606258199908,-0.41874367746128643,1,0,1,0,-1.5888027304991739,1
1.6939576946194692,-0.12152547744017217,1,1,1,1,-0.8920017538570054,0
0.0499473520348416,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
-0.8077971745310512,0.07661998924057066,1,0,1,1,-0.42746776942889314,0
-0.09301006905947397,-0.9141073441631435,1,0,1,0,-1.3565357382851178,1
-0.09301006905947397,-0.6168891441420292,1,0,0,0,0.7338671916413876,1
0.12142606258199908,0.07661998924057066,1,1,1,1,-1.5888027304991739,2
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
-0.021531358512316502,-0.6168891441420292,0,0,0,0,0.7338671916413876,1
-2.594764938209994,-0.41874367746128643,1,0,0,0,0.7338671916413876,0
0.12142606258199908,-0.41874367746128643,1,0,1,0,-1.5888027304991739,1
-0.7363184639838938,0.5719836559424277,0,1,1,1,0.7338671916413876,0
-0.021531358512316502,-0.9141073441631435,0,1,1,1,0.7338671916413876,2
-0.09301006905947397,-0.7159618774824007,0,0,0,0,0.7338671916413876,1
0.5502983258649458,2.058074656047999,0,0,0,0,0.7338671916413876,0
-1.5225842800026284,-0.6168891441420292,0,1,1,1,0.7338671916413876,0
0.0499473520348416,0.07661998924057066,1,1,1,0,-1.5888027304991739,1
0.5502983258649458,2.058074656047999,0,0,0,0,0.7338671916413876,0
-0.021531358512316502,-0.7159618774824007,1,1,1,1,0.7338671916413876,2
-0.021531358512316502,-0.41874367746128643,1,1,1,1,0.7338671916413876,2
0.5502983258649458,4.534892989557284,1,0,1,1,0.7338671916413876,0
-0.021531358512316502,0.5719836559424277,0,0,0,0,0.7338671916413876,0
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
0.0499473520348416,0.07661998924057066,1,1,0,0,-1.1242687460710616,1
-0.021531358512316502,-0.7159618774824007,1,0,1,0,0.7338671916413876,2
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
-0.8077971745310512,0.07661998924057066,1,0,1,1,-0.42746776942889314,0
-0.021531358512316502,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
0.12142606258199908,0.07661998924057066,1,1,1,1,-1.5888027304991739,2
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
-0.09301006905947397,-0.7159618774824007,0,0,0,0,0.7338671916413876,1
0.12142606258199908,-0.319670944120915,0,0,1,0,0.7338671916413876,1
0.12142606258199908,-0.319670944120915,0,0,1,0,0.7338671916413876,1
-0.09301006905947397,-0.7159618774824007,0,0,0,0,0.7338671916413876,1
-0.09301006905947397,-0.8150346108227721,0,0,1,0,0.7338671916413876,1
-0.021531358512316502,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
0.0499473520348416,-0.319670944120915,1,0,0,0,-1.1242687460710616,1
-0.021531358512316502,0.5719836559424277,0,0,0,1,-0.42746776942889314,0
-0.09301006905947397,-0.6168891441420292,1,0,1,0,0.7338671916413876,1
0.12142606258199908,-0.41874367746128643,1,0,1,0,-1.5888027304991739,1
1.408042852430838,1.067347322644285,0,1,1,1,0.7338671916413876,0
-0.09301006905947397,-0.8150346108227721,0,0,1,0,0.7338671916413876,1
0.12142606258199908,-0.41874367746128643,1,1,1,1,0.7338671916413876,2
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
2.0513512473552575,-1.013180077503515,1,1,0,1,0.7338671916413876,0
0.12142606258199908,-1.013180077503515,0,0,0,1,-2.7501376915694546,1
-0.7363184639838938,0.5719836559424277,0,1,1,1,0.7338671916413876,0
-1.5225842800026284,1.562710989346142,0,1,1,1,-0.42746776942889314,0
2.0513512473552575,-1.013180077503515,1,1,0,1,0.7338671916413876,0
0.12142606258199908,-0.41874367746128643,1,0,1,0,-1.5888027304991739,1
0.12142606258199908,0.07661998924057066,1,1,1,1,-1.5888027304991739,2
0.0499473520348416,0.07661998924057066,1,1,0,0,-1.1242687460710616,1
0.12142606258199908,-0.41874367746128643,1,0,1,0,-1.5888027304991739,1
-0.021531358512316502,0.5719836559424277,0,0,0,0,0.7338671916413876,0
-0.021531358512316502,0.5719836559424277,0,0,0,1,-0.42746776942889314,0
0.12142606258199908,0.07661998924057066,0,0,0,1,0.7338671916413876,1
-0.09301006905947397,-0.8150346108227721,0,0,0,0,-1.1242687460710616,1
-0.021531358512316502,0.07661998924057066,0,1,1,1,-0.42746776942889314,2
0.12142606258199908,0.07661998924057066,0,1,0,0,-2.7501376915694546,1
-0.09301006905947397,-0.8150346108227721,0,0,0,0,-1.1242687460710616,1
0.12142606258199908,-0.8150346108227721,0,1,1,0,0.2693332072132753,2
-0.09301006905947397,-0.9141073441631435,1,0,1,0,-1.3565357382851178,1
0.12142606258199908,0.07661998924057066,1,1,1,0,-1.5888027304991739,2
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
-0.8077971745310512,0.07661998924057066,1,0,1,1,-0.42746776942889314,0
-0.09301006905947397,-0.9141073441631435,1,0,1,0,-1.3565357382851178,1
-1.5225842800026284,1.562710989346142,0,1,1,1,-0.42746776942889314,0
1.408042852430838,1.067347322644285,0,1,0,0,0.7338671916413876,0
-0.09301006905947397,-0.6168891441420292,1,0,0,0,0.7338671916413876,1
0.12142606258199908,-0.319670944120915,0,0,1,0,0.7338671916413876,1
0.12142606258199908,1.067347322644285,0,0,0,1,0.7338671916413876,0
1.3365641418836804,2.553438322749856,0,0,0,0,-1.3565357382851178,0
-1.379626858908313,-0.6168891441420292,1,0,1,0,0.7338671916413876,0
-0.021531358512316502,-0.7159618774824007,1,1,1,1,0.7338671916413876,2
-0.09301006905947397,-0.6168891441420292,1,0,0,0,0.7338671916413876,1
0.12142606258199908,-0.319670944120915,0,0,1,0,0.7338671916413876,1
-0.021531358512316502,-0.7159618774824007,1,1,1,1,0.7338671916413876,2
0.12142606258199908,-0.8150346108227721,0,1,1,0,0.2693332072132753,2
-0.09301006905947397,-0.6168891441420292,1,0,0,0,0.7338671916413876,1
0.0499473520348416,0.5719836559424277,1,1,1,0,-1.5888027304991739,0
0.0499473520348416,0.07661998924057066,1,1,0,0,-1.1242687460710616,1
1.408042852430838,1.067347322644285,0,1,1,1,0.7338671916413876,0
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
0.12142606258199908,-0.319670944120915,0,0,1,0,0.7338671916413876,1
0.12142606258199908,0.07661998924057066,0,0,0,1,0.7338671916413876,1
1.0506492996950494,2.1571473893883706,1,0,1,1,0.7338671916413876,0
-0.09301006905947397,-0.7159618774824007,0,0,0,0,-1.5888027304991739,1
0.5502983258649458,4.534892989557284,1,0,1,1,0.7338671916413876,0
0.12142606258199908,-0.41874367746128643,1,1,1,1,0.7338671916413876,2
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
-0.09301006905947397,-0.41874367746128643,1,0,0,0,-0.42746776942889314,1
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
-1.379626858908313,-0.6168891441420292,1,0,1,0,0.7338671916413876,0
0.0499473520348416,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
-0.7363184639838938,0.5719836559424277,0,1,1,1,0.7338671916413876,0
-2.594764938209994,-0.41874367746128643,1,0,0,0,0.7338671916413876,0
-0.021531358512316502,0.07661998924057066,0,1,1,1,-0.42746776942889314,2
0.0499473520348416,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
-0.021531358512316502,0.5719836559424277,0,0,0,0,0.7338671916413876,0
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
-0.09301006905947397,-0.7159618774824007,0,0,0,0,0.7338671916413876,1
1.3365641418836804,2.553438322749856,0,0,0,0,-1.3565357382851178,0
0.12142606258199908,-0.319670944120915,0,0,1,0,0.7338671916413876,1
-1.5225842800026284,-0.6168891441420292,0,1,1,1,0.7338671916413876,0
0.12142606258199908,0.07661998924057066,0,1,1,1,0.7338671916413876,2
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
0.12142606258199908,0.07661998924057066,1,1,1,0,-1.5888027304991739,2
1.408042852430838,1.067347322644285,0,1,1,1,0.7338671916413876,0
0.0499473520348416,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
-2.594764938209994,-0.41874367746128643,1,0,0,0,0.7338671916413876,0
2.0513512473552575,-1.013180077503515,1,1,0,1,0.7338671916413876,0
-0.09301006905947397,-0.6168891441420292,1,1,1,1,0.7338671916413876,2
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
-2.594764938209994,-0.41874367746128643,1,0,0,0,0.7338671916413876,0
-0.021531358512316502,-0.7159618774824007,1,1,1,1,0.7338671916413876,2
-0.021531358512316502,0.5719836559424277,0,0,0,1,-0.42746776942889314,0
-0.09301006905947397,-0.6168891441420292,1,1,1,1,0.7338671916413876,2
1.6939576946194692,-0.12152547744017217,1,0,1,1,-0.42746776942889314,0
0.0499473520348416,0.07661998924057066,1,1,1,0,-1.5888027304991739,1
-0.09301006905947397,-0.8150346108227721,0,0,0,0,-1.1242687460710616,1
0.12142606258199908,-0.41874367746128643,1,0,1,0,-1.5888027304991739,1
0.0499473520348416,-0.6168891441420292,1,0,1,0,0.7338671916413876,2
-0.09301006905947397,-0.8150346108227721,0,0,1,0,0.7338671916413876,1
-2.594764938209994,-0.41874367746128643,1,1,1,1,0.7338671916413876,0
-1.5225842800026284,-0.6168891441420292,0,1,1,1,0.7338671916413876,0
-0.021531358512316502,0.5719836559424277,0,0,0,1,-0.42746776942889314,0
